date,London,South East,East Anglia,East Midlands,Yorkshire & Humber,Scotland,North West,South West,West Midlands
2008-01-01,0.7117109,0.6,0.37,0.72792447,0.77,0.8,0.70004463,0.6766667,0.71674305
2008-02-01,0.845,0.95,0.95,0.82000005,0.825,0.72,0.77,0.85,0.79
2008-03-01,1.09,1.29,1.15,0.72792447,0.99,1.095,0.70004463,1.29,0.71674305
2008-04-01,0.7,0.94,0.85,0.79,0.66,1.02,0.69,0.7100233,0.79
2008-05-01,0.7117109,0.7577874,0.82500005,0.72792447,0.63,0.69707406,0.63,0.63,0.71674305
2008-06-01,0.8466667,1.0,0.85,0.675,0.7064718,0.86333334,0.85,0.595,0.7633333
2008-07-01,0.7117109,0.85,0.73902804,0.75,0.7064718,0.75,0.7633333,0.82,0.695
2008-08-01,0.79,0.82,0.73902804,0.85,0.75,1.0,0.75,0.7,0.71674305
2008-09-01,0.945,0.7577874,0.9166667,0.865,0.7064718,0.895,0.7,0.99,0.84
2008-10-01,1.35,0.7577874,1.2950001,1.14,0.7064718,0.69707406,1.2066667,0.7100233,1.16
2008-11-01,0.7117109,0.7577874,1.25,1.09,1.2,0.69707406,0.70004463,0.69,1.09
2008-12-01,1.22,0.79,1.15,0.995,0.89,1.04,1.1,1.09,0.71674305
2009-01-01,0.75,0.73,0.99,0.72792447,0.8,0.69707406,0.84000003,0.75,0.7
2009-02-01,1.0,1.0,0.73902804,0.75,0.85,0.69707406,0.94,0.7100233,0.89
2009-03-01,0.99,0.7577874,0.98,0.72792447,1.0,0.69707406,0.745,0.79,0.935
2009-04-01,0.70000005,0.875,0.73902804,0.72792447,0.595,0.9725,0.73,1.0,0.69
2009-05-01,0.7,0.95,0.73902804,0.62,0.87,0.88,0.7,0.53999996,0.75333333
2009-06-01,0.7117109,0.89,0.85,0.645,0.85,0.5,0.70004463,0.7100233,0.69
2009-07-01,0.78,0.78,0.73902804,0.69,0.7064718,0.85,0.9,0.7100233,0.45
2009-08-01,0.875,0.8433333,0.73902804,0.78,0.52,0.9,0.69,0.745,0.69
2009-09-01,0.98,0.85,0.95,0.98,0.79,0.745,0.98,0.79,0.59
2009-10-01,1.0,0.99,0.98,0.89,1.0,0.99,0.89,0.98,0.89
2009-11-01,0.7117109,0.865,1.15,1.1,0.7064718,0.94500005,0.70004463,0.7100233,0.74
2009-12-01,0.79,1.0666666,1.325,0.99,1.1,1.1700001,0.70004463,1.29,0.71674305
2010-01-01,1.6,0.7577874,1.29,1.2950001,0.7064718,0.69707406,0.70004463,1.25,0.99
2010-02-01,0.7117109,1.3,1.17,1.17,0.7064718,0.69707406,1.145,0.7100233,1.2233334
2010-03-01,0.91,1.3833333,0.73902804,0.72792447,0.97,0.81666666,0.74,0.7100233,0.89
2010-04-01,0.7117109,1.05,0.73902804,0.69,0.91,0.91999996,0.8,0.7100233,0.97
2010-05-01,0.79499996,0.79,1.0,0.72792447,0.625,0.4,0.8,1.0,0.71674305
